,YEAR,STATE,OTP,TOT_FAC
0,2010,AK,2,77
1,2010,AL,20,138
2,2010,AR,3,62
3,2010,AZ,29,214
4,2010,CA,136,1626
5,2010,CO,8,437
6,2010,CT,41,195
7,2010,DC,4,33
8,2010,DE,6,37
9,2010,FL,40,593
10,2010,GA,40,243
11,2010,HI,3,119
12,2010,IA,4,125
13,2010,ID,2,93
14,2010,IL,56,606
15,2010,IN,11,273
16,2010,KS,5,211
17,2010,KY,11,293
18,2010,LA,8,154
19,2010,MA,49,307
20,2010,MD,61,339
21,2010,ME,11,179
22,2010,MI,30,475
23,2010,MN,15,308
24,2010,MO,11,264
25,2010,MS,1,102
26,2010,MT,1,53
27,2010,NC,38,400
28,2010,NE,3,115
29,2010,NH,8,52
30,2010,NJ,31,335
31,2010,NM,6,141
32,2010,NV,13,84
33,2010,NY,165,1000
34,2010,OH,17,373
35,2010,OK,13,191
36,2010,OR,13,224
37,2010,PA,68,533
38,2010,PR,8,157
39,2010,RI,13,53
40,2010,SC,13,103
41,2010,TN,8,202
42,2010,TX,61,454
43,2010,UT,10,146
44,2010,VA,19,208
45,2010,VI,1,3
46,2010,VT,9,42
47,2010,WA,18,455
48,2010,WI,14,250
49,2010,WV,9,82
50,2011,AK,2,76
51,2011,AL,20,147
52,2011,AR,3,61
53,2011,AZ,29,219
54,2011,CA,134,1639
55,2011,CO,11,448
56,2011,CT,33,188
57,2011,DC,4,36
58,2011,DE,6,37
59,2011,FL,43,617
60,2011,GA,41,249
61,2011,HI,3,119
62,2011,IA,4,126
63,2011,ID,3,103
64,2011,IL,58,638
65,2011,IN,14,274
66,2011,KS,7,220
67,2011,KY,12,318
68,2011,LA,8,143
69,2011,MA,59,322
70,2011,MD,57,349
71,2011,ME,9,213
72,2011,MI,32,494
73,2011,MN,15,315
74,2011,MO,12,289
75,2011,MS,1,98
76,2011,MT,1,57
77,2011,NC,40,436
78,2011,NE,3,123
79,2011,NH,8,54
80,2011,NJ,36,361
81,2011,NM,6,145
82,2011,NV,11,82
83,2011,NY,154,942
84,2011,OH,19,373
85,2011,OK,15,197
86,2011,OR,15,235
87,2011,PA,73,578
88,2011,PR,7,152
89,2011,RI,15,59
90,2011,SC,12,105
91,2011,TN,9,208
92,2011,TX,64,475
93,2011,UT,10,145
94,2011,VA,20,213
95,2011,VI,1,3
96,2011,VT,8,42
97,2011,WA,19,453
98,2011,WI,14,265
99,2011,WV,9,96
100,2012,AK,2,95
101,2012,AL,20,148
102,2012,AR,3,95
103,2012,AZ,28,329
104,2012,CA,139,1611
105,2012,CO,14,443
106,2012,CT,39,223
107,2012,DC,3,39
108,2012,DE,8,40
109,2012,FL,42,648
110,2012,GA,49,278
111,2012,HI,3,122
112,2012,IA,4,145
113,2012,ID,2,107
114,2012,IL,57,628
115,2012,IN,13,277
116,2012,KS,8,227
117,2012,KY,11,324
118,2012,LA,8,150
119,2012,MA,51,328
120,2012,MD,53,362
121,2012,ME,10,223
122,2012,MI,33,489
123,2012,MN,15,347
124,2012,MO,11,283
125,2012,MS,1,113
126,2012,MT,1,69
127,2012,NC,41,464
128,2012,NE,3,123
129,2012,NH,8,59
130,2012,NJ,35,375
131,2012,NM,9,155
132,2012,NV,8,87
133,2012,NY,133,933
134,2012,OH,17,384
135,2012,OK,13,218
136,2012,OR,12,236
137,2012,PA,66,557
138,2012,PR,6,160
139,2012,RI,13,63
140,2012,SC,11,102
141,2012,SD,1,67
142,2012,TN,12,239
143,2012,TX,66,478
144,2012,UT,11,168
145,2012,VA,21,232
146,2012,VI,1,3
147,2012,VT,8,43
148,2012,WA,20,469
149,2012,WI,15,337
150,2012,WV,9,93
151,2013,AK,2,93
152,2013,AL,21,154
153,2013,AR,5,89
154,2013,AZ,29,313
155,2013,CA,148,1550
156,2013,CO,10,488
157,2013,CT,46,212
158,2013,DC,5,37
159,2013,DE,9,42
160,2013,FL,54,621
161,2013,GA,50,360
162,2013,HI,3,123
163,2013,IA,5,144
164,2013,ID,2,117
165,2013,IL,65,650
166,2013,IN,14,275
167,2013,KS,8,210
168,2013,KY,10,328
169,2013,LA,5,166
170,2013,MA,64,315
171,2013,MD,57,360
172,2013,ME,10,222
173,2013,MI,31,489
174,2013,MN,16,354
175,2013,MO,10,258
176,2013,MS,1,101
177,2013,MT,2,72
178,2013,NC,43,433
179,2013,NE,3,114
180,2013,NH,8,55
181,2013,NJ,32,372
182,2013,NM,10,139
183,2013,NV,12,81
184,2013,NY,161,904
185,2013,OH,19,378
186,2013,OK,11,223
187,2013,OR,12,246
188,2013,PA,82,539
189,2013,PR,8,161
190,2013,RI,15,62
191,2013,SC,13,111
192,2013,SD,1,63
193,2013,TN,4,221
194,2013,TX,72,461
195,2013,UT,14,171
196,2013,VA,24,226
197,2013,VI,1,3
198,2013,VT,9,44
199,2013,WA,23,451
200,2013,WI,14,318
201,2013,WV,9,101
202,2014,AK,4,182
203,2014,AL,44,288
204,2014,AR,12,162
205,2014,AZ,56,634
206,2014,CA,256,2908
207,2014,CO,22,904
208,2014,CT,86,408
209,2014,DC,12,70
210,2014,DE,16,78
211,2014,FL,118,1314
212,2014,GA,112,706
213,2014,HI,6,354
214,2014,IA,12,304
215,2014,ID,4,250
216,2014,IL,130,1364
217,2014,IN,28,538
218,2014,KS,16,408
219,2014,KY,26,694
220,2014,LA,20,318
221,2014,MA,140,678
222,2014,MD,122,750
223,2014,ME,22,450
224,2014,MI,68,956
225,2014,MN,34,738
226,2014,MO,26,534
227,2014,MS,2,192
228,2014,MT,6,138
229,2014,NC,90,872
230,2014,NE,6,226
231,2014,NH,16,96
232,2014,NJ,70,724
233,2014,NM,22,248
234,2014,NV,22,154
235,2014,NY,322,1870
236,2014,OH,44,756
237,2014,OK,22,428
238,2014,OR,30,478
239,2014,PA,160,1088
240,2014,PR,14,300
241,2014,RI,32,122
242,2014,SC,26,220
243,2014,SD,2,140
244,2014,TN,10,426
245,2014,TX,144,960
246,2014,UT,26,356
247,2014,VA,48,446
248,2014,VI,2,6
249,2014,VT,22,94
250,2014,WA,46,884
251,2014,WI,28,614
252,2014,WV,20,210
